order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-000001,2022-01-01,2022,1,1,January,North America,Mexico,Electronics,Laptops,Consumer,9,1491.09,13419.81,10437.8,2982.01,22.221
ORD-000002,2022-01-01,2022,1,1,January,North America,Canada,Clothing,Tops,Home Office,2,143.6,287.2,204.11,83.09,28.9311
ORD-000003,2022-01-01,2022,1,1,January,Latin America,Chile,Electronics,Accessories,Corporate,2,34.43,68.86,54.94,13.92,20.2149
ORD-000004,2022-01-01,2022,1,1,January,North America,United States,Office Supplies,Technology,Consumer,6,253.4,1520.4,1145.93,374.47,24.6297
ORD-000005,2022-01-01,2022,1,1,January,Latin America,Colombia,Electronics,Smartphones,Home Office,10,918.99,9189.9,7768.65,1421.25,15.4653
ORD-000006,2022-01-01,2022,1,1,January,North America,Mexico,Electronics,Accessories,Corporate,10,147.66,1476.6,1066.89,409.71,27.7469
ORD-000007,2022-01-02,2022,1,1,January,Latin America,Colombia,Clothing,Tops,Corporate,1,104.28,104.28,83.88,20.4,19.5627
ORD-000008,2022-01-02,2022,1,1,January,North America,Mexico,Clothing,Tops,Corporate,6,143.54,861.24,675.01,186.23,21.6235
ORD-000009,2022-01-02,2022,1,1,January,Asia Pacific,Japan,Clothing,Outerwear,Consumer,4,74.69,298.76,252.92,45.84,15.3434
ORD-000010,2022-01-02,2022,1,1,January,Asia Pacific,South Korea,Electronics,Laptops,Consumer,6,2401.47,14408.82,10760.99,3647.83,25.3166
ORD-000011,2022-01-02,2022,1,1,January,Asia Pacific,Australia,Furniture,Chairs,Consumer,6,94.99,569.94,427.26,142.68,25.0342
ORD-000012,2022-01-02,2022,1,1,January,Europe,Netherlands,Office Supplies,Technology,Home Office,9,257.36,2316.24,1642.43,673.81,29.0907
ORD-000013,2022-01-02,2022,1,1,January,Asia Pacific,India,Office Supplies,Technology,Consumer,10,65.84,658.4,479.78,178.62,27.1294
ORD-000014,2022-01-02,2022,1,1,January,Europe,Italy,Office Supplies,Paper & Pens,Corporate,6,42.49,254.94,215.17,39.77,15.5997
ORD-000015,2022-01-02,2022,1,1,January,Asia Pacific,Australia,Office Supplies,Binders,Consumer,2,59.53,119.06,96.54,22.52,18.9148
ORD-000016,2022-01-02,2022,1,1,January,Europe,Spain,Furniture,Desks,Corporate,4,209.43,837.72,597.08,240.64,28.7256
ORD-000017,2022-01-02,2022,1,1,January,Asia Pacific,India,Office Supplies,Technology,Consumer,9,247.46,2227.14,1773.02,454.12,20.3903
ORD-000018,2022-01-02,2022,1,1,January,North America,Canada,Office Supplies,Binders,Consumer,9,33.62,302.58,247.08,55.5,18.3423
ORD-000019,2022-01-03,2022,1,1,January,Europe,France,Electronics,Accessories,Consumer,4,153.02,612.08,483.31,128.77,21.0381
ORD-000020,2022-01-03,2022,1,1,January,Asia Pacific,Australia,Office Supplies,Binders,Consumer,1,66.74,66.74,48.75,17.99,26.9553
ORD-000021,2022-01-03,2022,1,1,January,Asia Pacific,Australia,Furniture,Desks,Corporate,8,568.91,4551.28,3475.55,1075.73,23.6358
ORD-000022,2022-01-03,2022,1,1,January,Europe,Germany,Furniture,Chairs,Consumer,9,498.02,4482.18,3273.93,1208.25,26.9567
ORD-000023,2022-01-03,2022,1,1,January,North America,United States,Electronics,Laptops,Consumer,5,1848.97,9244.85,7300.44,1944.41,21.0324
ORD-000024,2022-01-03,2022,1,1,January,North America,Mexico,Furniture,Storage,Consumer,6,124.8,748.8,564.2,184.6,24.6528
ORD-000025,2022-01-04,2022,1,1,January,Asia Pacific,Japan,Furniture,Chairs,Consumer,8,356.25,2850.0,2067.67,782.33,27.4502
ORD-000026,2022-01-04,2022,1,1,January,Europe,Netherlands,Clothing,Outerwear,Corporate,8,65.49,523.92,428.64,95.28,18.186
ORD-000027,2022-01-04,2022,1,1,January,North America,Mexico,Office Supplies,Technology,Consumer,3,245.8,737.4,541.11,196.29,26.6192
ORD-000028,2022-01-04,2022,1,1,January,Asia Pacific,China,Electronics,Laptops,Corporate,3,1210.88,3632.64,2905.86,726.78,20.0069
ORD-000029,2022-01-04,2022,1,1,January,Asia Pacific,Australia,Furniture,Desks,Consumer,5,1010.62,5053.1,4278.59,774.51,15.3274
ORD-000030,2022-01-04,2022,1,1,January,Europe,France,Office Supplies,Technology,Corporate,7,224.27,1569.89,1115.29,454.6,28.9574
ORD-000031,2022-01-04,2022,1,1,January,Latin America,Argentina,Furniture,Chairs,Consumer,8,468.52,3748.16,2843.66,904.5,24.1318
ORD-000032,2022-01-04,2022,1,1,January,North America,Canada,Office Supplies,Technology,Consumer,6,294.47,1766.82,1472.29,294.53,16.6701
ORD-000033,2022-01-05,2022,1,1,January,Europe,Italy,Furniture,Storage,Home Office,2,57.31,114.62,96.44,18.18,15.8611
ORD-000034,2022-01-05,2022,1,1,January,North America,United States,Electronics,Laptops,Consumer,1,1422.09,1422.09,1052.28,369.81,26.0047
ORD-000035,2022-01-05,2022,1,1,January,Europe,Italy,Office Supplies,Technology,Home Office,8,262.76,2102.08,1629.87,472.21,22.4639
ORD-000036,2022-01-05,2022,1,1,January,Europe,United Kingdom,Clothing,Bottoms,Consumer,2,99.24,198.48,154.33,44.15,22.2441
ORD-000037,2022-01-05,2022,1,1,January,Asia Pacific,Japan,Office Supplies,Paper & Pens,Consumer,1,7.97,7.97,6.07,1.9,23.8394
ORD-000038,2022-01-05,2022,1,1,January,Latin America,Peru,Furniture,Desks,Consumer,3,661.78,1985.34,1456.5,528.84,26.6373
